Text,company,startdate,salary,exp,about,skills_required,Page_URL
Business Development Associate,"
                        Faclon                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000 - 4,00,000                                ",0-2 years,"
    As a business development associate at Faclon Labs, you will be responsible for identifying and prospecting key personnel within target organizations, making effective cold calls and presentations, and building strong relationships with potential clients. This role offers a unique opportunity for recent graduates or individuals with up to 1 years of experience in business development to fast-track their careers in the exciting world of IIoT.
 
Key responsibilities:

1. Prospecting for key personnel: Identify and target decision-makers and key personnel within potential client organizations to initiate meaningful conversations and relationships
2. Effective communication: Utilize strong verbal and written communication skills to make compelling cold calls and deliver impactful presentations to potential clients
3. Email correspondence: Write professional and persuasive emails to follow up on leads, provide information, and nurture client relationships
4. Analytical skills: Use your analytical abilities to understand client needs, gather market intelligence, and adapt your approach to maximize inquiry generation
5. Pre-sales: You will be the bridge between our technical solutions and potential clients. You will work closely with the sales team to understand client needs, provide technical expertise, and demonstrate how our IIoT products or services can solve their challenges
 
Qualifications:

1. Bachelor's degree in a relevant field, preferably with a background in engineering
2. 0-2 years of experience in business development, sales, or a related field (recent graduates are encouraged to apply)
3. Strong verbal and written communication skills
4. Excellent analytical skills
5. Proven ability to make cold calls and deliver persuasive presentations
6. Self-motivated and results-oriented","
                    Business Research
                    CRM
                    Email Marketing
                    English Proficiency (Spoken)
                    English Proficiency (Written)
                    Marketing
                    MS-Office
            ",https://internshala.com/job/detail/fresher-business-development-associate-job-in-mumbai-at-faclon1708068200
Telecaller,"
                        Cyond                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000                                ",1 year,"
    Key responsibilities: 

1. Conduct outbound calls to clients and channel partners in a timely manner
2. Provide information about our products/services, promotions, and offers
3. Identify potential leads and opportunities for business development
4. Maintain accurate records of all interactions and follow-up activities
5. Address client inquiries and resolve issues promptly and effectively
6. Meet and exceed daily, weekly, and monthly call targets
7. Collaborate with the sales and marketing teams to ensure alignment with organizational goals
8. Stay updated on product/service features and industry trends
9. Uphold company values and adhere to established protocols and guidelines
10. Continuously strive to improve efficiency and effectiveness in call handling","
                    English Proficiency (Spoken)
                    Hindi Proficiency (Spoken)
                    Telugu Proficiency (Spoken)
            ",https://internshala.com/job/detail/telecaller-job-in-hyderabad-at-cyond1708069641
Client Relationship Executive,"
                        Reflex Realty LLP                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,50,000 - 3,00,000                                ",1-3 years,"
    Key responsibilities:

1. Working live on the job with clientele/projects
2. Developing and maintaining exceptional customer relationships & bonding
3. Working on back-office tasks
4. Assisting & coordinating with site visitors
5. Maintaining a database of clients and properties and keeping accurate records of sales activities
6. Delivering customer-first oriented service always
7. Communicating with all levels of the organization internally and externally
8. Meeting and exceeding sales goals","
                    Client Relationship
                    Effective Communication
                    English Proficiency (Spoken)
                    English Proficiency (Written)
                    Hindi Proficiency (Spoken)
                    Marketing
                    MS-Excel
            ",https://internshala.com/job/detail/client-relationship-executive-job-in-mumbai-at-reflex-realty-llp1708069854
Civil Engineer,"
                        Cyond                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000                                ",1-5 years,"
    Key responsibilities: 

1. Assist in the assessment and evaluation of structures for repair and retrofitting requirements
2. Support the design and implementation of repair and retrofitting solutions under the guidance of senior engineers
3. Assist in conducting site inspections and surveys to identify waterproofing needs and vulnerabilities
4. Collaborate with the engineering team to develop waterproofing strategies and solutions for structures
5. Assist in preparing technical drawings, specifications, and documentation for repair, retrofitting, and waterproofing projects
6. Support project management activities including scheduling, progress tracking, and coordination with contractors and stakeholders
7. Participate in on-site construction supervision and quality control inspections.
8. Assist in research and development initiatives to enhance repair, retrofitting, and waterproofing methodologies
9. Maintain accurate records and documentation related to project activities and outcomes
10. Support team members in various ad-hoc tasks and projects as needed","
                    CAD
                    MS-Office
            ",https://internshala.com/job/detail/civil-engineer-job-in-hyderabad-at-cyond1708070485
Corporate Sales Executive,"
                        DigiBrandz IT Solutions Private Limited                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000 - 4,20,000                                ",1-3 years,"
    We are currently seeking a vibrant and dynamic individual to join our team as a corporate sales executive at DigiBrandz IT Solutions Private Limited. If you have a knack for client interaction and developing strong client relationships, this is the perfect opportunity for you. As an English-proficient candidate, you will excel at effectively communicating with clients, generating leads, and closing sales. Your skills in email marketing and digital marketing will be put to excellent use in promoting our innovative solutions. 

Key responsibilities:

1. Build and maintain strong client relationships through regular interaction, ensuring client satisfaction and loyalty
2. Generate leads through various channels, including networking events, referrals, and digital marketing strategies
3. Develop and execute effective sales pitches to showcase our cutting-edge IT solutions and services
4. Provide exceptional customer service by promptly addressing client queries and concerns
5. Collaborate with the marketing team to develop and implement email marketing campaigns to attract potential clients
6. Stay up-to-date with industry trends and competitor activities to identify new business opportunities
7. Achieve and exceed sales targets by consistently closing deals and expanding our client base

Join our team and unleash your sales prowess to drive growth and success for DigiBrandz IT Solutions Private Limited. Apply now and be part of a dynamic and innovative organization!","
                    Client Relationship
                    Digital Marketing
                    Effective Communication
                    Email Marketing
                    English Proficiency (Spoken)
                    Lead Generation
                    Sales
                    Sales pitch
            ",https://internshala.com/job/detail/corporate-sales-executive-job-in-pune-at-digibrandz-it-solutions-private-limited1708076347
Customer Service,"
                        Moretasks Business Solution Limited                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000 - 4,00,000                                ",1 year,"
    Key responsibilities:

1. Handle chats and emails in English for an international process
2. Respond promptly and accurately to customer inquiries, issues, and requests
3. Provide exceptional customer service and ensure customer satisfaction through effective communication and problem-solving skills
4. Utilize the knowledge base and resources to resolve customer queries efficiently
5. Adhere to company policies and procedures while maintaining professionalism and empathy
6. Meet or exceed performance targets such as response time, resolution rate, and customer satisfaction metrics
7. Document and escalate complex issues to the appropriate teams for resolution
8. Collaborate with team members to optimize workflows and enhance overall efficiency
9. Must have at least 1 year of experience in a similar role, preferably in an international customer service environment
10. Ready to work in 24/7 rotatory shifts","
                    English Proficiency (Spoken)
                    English Proficiency (Written)
            ",https://internshala.com/job/detail/customer-service-job-in-gurgaon-at-moretasks-business-solution-limited1708080204
Retail Sales,"
                        Material Depot                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,50,000 - 3,50,000                                ",1-3 years,"
    Key responsibilities: 

1.  Customer Service:
Greet customers and assist them in finding the products they are looking for
Provide information about products, features, and benefits
Address customer inquiries and resolve any issues or concerns

2. Product Knowledge:
Stay updated on product knowledge to effectively communicate features and benefits
Assist in product merchandising and maintaining organized and visually appealing displays

3. Customer Relationship Management:
Build and maintain positive relationships with customers
Collect customer feedback and convey it to the management for improvements
Encourage customer loyalty through loyalty programs and incentives

4. Reporting:
Prepare and submit daily, weekly, or monthly sales reports
Communicate relevant information to the management team

5. Sales:
Use effective selling techniques to influence customers and close sales","
                    Sales
            ",https://internshala.com/job/detail/retail-sales-job-in-bangalore-at-material-depot1708083000
Human Resources (HR) Executive,"
                        APSK Production & Entertainment Private Limited                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000                                ",0-1 years,"
    Key responsibilities: 

1. Manage the recruitment and selection process 
2. Sourcing on job portals 
3. Maintain a positive working environment","
                    English Proficiency (Spoken)
                    Gujarati Proficiency (Spoken)
                    Negotiation & Problem-solving
            ",https://internshala.com/job/detail/fresher-human-resources-hr-executive-job-in-vadodara-at-apsk-production-entertainment-private-limited1708089129
Junior Brand EXECUTIVE,"
                        Tring                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 2,50,000                                ",0-1 years,"
    Key responsibilities: 

1. Brand Management:

Develop and execute brand strategies, ensuring consistency across all marketing channels and touchpoints
Maintain brand guidelines and ensure brand messaging is effectively communicated across all marketing materials

2. Celebrity Management:

Identify and select appropriate celebrities or influencers to associate with the brand, aligning their values with the brand's image and target audience
Negotiate contracts and manage relationships with celebrities, ensuring contractual obligations are met
Coordinate and oversee celebrity endorsement campaigns, photo shoots, events, and other promotional activities

3. Partnership Development:

Identify and pursue potential brand partnerships and collaborations that align with the brand's values and marketing objectives
Manage relationships with external agencies, vendors, and partners involved in brand and celebrity-related activities","
                    Effective Communication
            ",https://internshala.com/job/detail/fresher-junior-brand-executive-job-in-mumbai-at-tring1708158388
Junior Social Media Marketing Associate,"
                        Employee Forums                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 4,00,000                                ",1-3 years,"
    As a Junior Social Media Marketing associate at Employee Forums, you will have the opportunity to showcase your expertise in social media marketing, digital marketing, English proficiency (written), facebook marketing, instagram marketing, search engine optimization (SEO), email marketing, and search engine marketing (SEM). Join our dynamic team and help us drive engagement, increase brand awareness, and grow our online presence.

Key responsibilities:

1. Develop and implement social media marketing strategies to increase followers and engagement on all platforms
2. Create compelling content for posts, ads, and campaigns that resonate with our target audience
3. Monitor and analyze social media metrics to track the success of campaigns and optimize performance
4. Collaborate with the marketing team to align social media efforts with overall marketing goals
5. Manage and grow our email marketing campaigns to reach a wider audience and drive conversions
6. Stay up-to-date on the latest trends and best practices in social media marketing to continually improve our strategy
7. Assist with other digital marketing efforts, such as SEO and SEM, to enhance our online visibility and drive traffic to our website.

If you are passionate about social media marketing and eager to make an impact in a fast-paced environment, we want to hear from you! Apply now to join our team at Employee Forums.","
                    Digital Marketing
                    Email Marketing
                    English Proficiency (Written)
                    Facebook Marketing
                    Instagram Marketing
                    Search Engine Marketing (SEM)
                    Search Engine Optimization (SEO)
                    Social Media Marketing
            ",https://internshala.com/job/detail/junior-social-media-marketing-associate-job-in-mumbai-at-employee-forums1708159430
"Pre Primary Teacher : Shemrock Janakpuri, Delhi","
                        Shemrock & Shemford Group Of Schools                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 2,10,000                                ",1-4 years,"
    Key responsibilities:

1. To provide a safe and stimulating environment to the children that facilitates learning
2. To be able to create lesson plans based on the theory of multiple intelligence and carry out the instructions that target different domains of child development
3. To keep a record of the student's progress, routines, and interests and keep parents informed about their child's development
4. To plan and execute educational in-class and outdoor activities and events
5. To participate in staff meetings and training sessions

Desired candidate profile:

1. The applicant should have a minimum of 1 to 3 years' experience
2. The candidate should have a strong command of spoken and written English

Note: We require female candiidate only.

Location: - SHEMROCK Janakpuri, B-1/415, Ground Floor, Janakpuri, Delhi-110058","
                    Teaching
            ",https://internshala.com/job/detail/pre-primary-teacher--shemrock-janakpuri-delhi-job-in-delhi-at-shemrock-shemford-group-of-schools1708165290
Accounts Executive,"
                        Digite Infotech Private Limited                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 3,00,000                                ",1-2 years,"
    We are seeking a highly motivated and detail-oriented Accounts Executive to join our team at Digite Infotech Private Limited. As an Accounts Executive, you will play a crucial role in ensuring the financial health of our company through your expertise in Tally, Advanced Excel, and accounting principles.

Key responsibilities:

1. Maintain accurate and up-to-date financial records using Tally and MS Excel
2. Execute day-to-day accounting tasks, including accounts payable and accounts receivable
3. Handle GST-related activities and manage TDS (Tax Deducted at Source) processes and filings
4. Reconcile bank statements, financial discrepancies, and other accounts
5. Assist in budgeting and forecasting activities
6. Ensure accuracy in ledger entries, cost centers, and financial transactions
7. Process purchase order and invoices, verify expenses including employee reimbursements, and manage payment schedules
8. Maintain proper documentation for audit and tax audit purposes
9. Communicate effectively with internal and external stakeholders
10. Strong knowledge of accounting principles and financial regulations

If you are a self-driven individual with a passion for numbers and a strong understanding of accounting principles, we encourage you to apply for this exciting opportunity. Join us at Digite Infotech Private Limited and take your career to the next level!","
                    Accounting
                    Advanced Excel
                    Tally
            ",https://internshala.com/job/detail/accounts-executive-job-in-mumbai-at-digite-infotech-private-limited1708164507
Waterproofing Technical Engineer,"
                        Cyond                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000                                ",1 year,"
    Key responsibilities: 

1. Conduct thorough inspections of buildings to assess waterproofing needs and identify areas of concern
2. Provide expert advice and recommendations on waterproofing strategies and solutions to address identified issues
3. Collaborate with clients, architects, engineers, and contractors to develop comprehensive waterproofing plans tailored to each project
4. Oversee the implementation of waterproofing systems, including the selection of materials, installation methods, and quality control measures
5. Conduct regular site visits to monitor the progress of waterproofing projects and ensure compliance with specifications and industry standards
6. Perform diagnostic tests, such as water leakage tests and moisture readings, to evaluate the effectiveness of existing waterproofing systems
7. Prepare detailed reports documenting inspection findings, recommended solutions, and cost estimates for waterproofing projects
8. Stay updated on industry trends, best practices, and emerging technologies related to waterproofing and building maintenance
9. Provide training and guidance to junior staff members on waterproofing techniques and procedures
10. Maintain strong relationships with clients and stakeholders to ensure customer satisfaction and repeat business opportunities","
                    CAD
                    MS-Office
            ",https://internshala.com/job/detail/waterproofing-technical-engineer-job-in-hyderabad-at-cyond1708165681
Graphic Designer,"
                        QuadB Tech                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000                                ",0-1 years,"
    Key responsibilities: 

1. Design creation: Assist in creating visually appealing and on-brand graphics for various projects including social media content, digital ads, print materials, email templates, and website assets
2. Collaboration: Work closely with other team members, such as designers, copywriters, and marketing specialists to contribute to the development and execution of creative campaigns
3. Design adaptation: Modify existing design assets to fit different formats or platforms while maintaining consistency with brand guidelines
4. Design research: Conduct research on design trends, competitor analysis, and target audience preferences to inform design decisions and stay current with industry best practices
5. Concept development: Participate in brainstorming sessions and contribute creative ideas for design projects, ensuring alignment with project objectives and target audience needs
6. File management: Organize and maintain design files, including final assets, source files, and supporting materials, ensuring easy access and version control
7. Quality assurance: Review and proofread designs to ensure accuracy, consistency, and adherence to brand guidelines before submitting for approval or publishing
8. Revisions and feedback: Incorporate feedback from team members and clients to improve and refine design concepts as needed
9. Learning and skill development: Continuously develop your design skills by learning new software, techniques, and design trends through online resources, workshops, or mentorship from senior team members
10. Miscellaneous tasks: Perform other design-related tasks as assigned by the creative director, design lead, or project manager","
                    Adobe After Effects
                    Adobe Illustrator
                    Adobe Photoshop
                    CorelDRAW
                    UI & UX Design
            ",https://internshala.com/job/detail/fresher-graphic-designer-job-in-ludhiana-at-quadb-tech1708170921
Journalist,"
                        Ed Explorars                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 2,40,000                                ",1-2 years,"
    Key responsibilities: 

1. Emphasize the company's expertise in creating and curating high-quality content that engages and resonates with the target audience
2. Describe the company's capabilities in media planning, buying, and optimization to maximize the impact of advertising campaigns
3. Illustrate the company's proficiency in leveraging digital platforms for communication, including social media strategies, online campaigns and web presence
4. Develop and produce engaging content for YouTube channel
5. Plan, script, and shoot videos that align with the channel's niche and target audience
6. Address feedback and concerns to maintain a positive viewer experience","
                    Anchoring
                    Creative Writing
                    English Proficiency (Spoken)
                    English Proficiency (Written)
                    Hindi Proficiency (Spoken)
                    Video Editing
                    Video Making
            ",https://internshala.com/job/detail/journalist-job-in-delhi-at-ed-explorars1707903245
Experienced Sales Executives,"
                        Krishna Consultant                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 4,80,000                                ",0-1 years,"
    We are seeking a dynamic and experienced sales executive to join our international voice process team at Krishna Consultant company. If you have a passion for sales, effective communication skills, and a strong command of English (spoken), then this is the perfect opportunity for you!

Key Responsibilities:

1. Develop and maintain strong relationships with existing and potential clients
2. Identify and pursue new business opportunities to expand our client base
3. Conduct market research to stay updated on industry trends and competitor activities
4. Engage in effective sales techniques to meet and exceed sales targets
5. Deliver persuasive sales presentations and product demonstrations to potential clients
6. Collaborate with cross-functional teams to ensure customer satisfaction and resolve any issues
7. Maintain accurate records of sales activities and prepare regular reports for management

Join our team and be part of a company that values innovation, professionalism, and growth. With our competitive compensation package and opportunities for career advancement, you will have the chance to thrive in a dynamic sales environment. Take your sales career to new heights with Krishna Consultant company. Apply now!","
                    Effective Communication
                    English Proficiency (Spoken)
            ",https://internshala.com/job/detail/fresher-experienced-sales-executives-job-in-gurgaon-at-krishna-consultant1707637711
Sales Coordinator,"
                        Krishna Consultant                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,40,000 - 2,88,000                                ",1-2 years,"
    Key responsibilities: 

1. Manage courier sales
2. Work on data management payment collection
3. Work on data preparation via Excel-MS Office","
                    MS-Excel
                    MS-Office
                    Sales
            ",https://internshala.com/job/detail/sales-coordinator-job-in-gurgaon-at-krishna-consultant1707641964
Customer Support,"
                        Krishna Consultant                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 2,05,000                                ",0-1 years,"
    Are you an excellent communicator with a passion for assisting others? Do you have a knack for problem-solving and a strong command of the English language? If so, then we have the perfect opportunity for you! Join our dynamic team at Krishna Consultant as a customer support representative.

Key Responsibilities:

1. Provide outstanding customer service by addressing customer inquiries and concerns via phone, email, and chat in a timely and professional manner
2. Utilize your English proficiency to effectively communicate with customers from around the world, ensuring their needs are met and their questions are answered
3. Assist customers with product information, troubleshooting, and technical support, resolving issues to their satisfaction
4. Collaborate with cross-functional teams to escalate complex customer problems and ensure timely resolution
5. Maintain accurate records of customer interactions, transactions, comments, and complaints, utilizing our CRM system
6. Identify customer trends and provide feedback to the management team to improve overall customer experience
7. Stay up-to-date with product knowledge, company policies, and industry trends to provide the most accurate and relevant information to customers

At Krishna Consultant, we value our customers and strive to provide exceptional service. As a customer support representative, you will play a crucial role in maintaining our reputation for excellence. If you are a passionate problem-solver with effective communication skills, we invite you to join our team and be a part of our success. Apply now and embark on an exciting career journey with us!","
                    Effective Communication
                    English Proficiency (Spoken)
            ",https://internshala.com/job/detail/fresher-customer-support-job-in-delhi-at-krishna-consultant1707642367
Corporate Sales Specialist,"
                        OckyPocky                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000 - 3,50,000                                ",0-2 years,"
    Key responsibilities:

1. Working on the outbound, inbound & online chat processes
2. Converting telephonic/web inquiries into admissions
3. Achieving business targets through effective counseling, as per timelines
4. Following up for lead generations through tele-calling, WhatsApp, email, etc.

Key requirements:

1. Excellent organization, presentation, negotiation, verbal and written communication skills required
2. Working with the team to develop, deliver, and exceed targeted revenue
3. Self-motivated, enthusiastic, hardworking, and able to pay attention to detail
4. Able to demonstrate good time management
5. Talented & willing to learn new things

Note: It is a full-time opportunity in Saket (only apply if you are willing to commute/relocate to Saket, Delhi).

Note:

1. Willing to work for 6 days a week
2. Working hours: 8-9 working hours","
                    Email Marketing
                    English Proficiency (Spoken)
                    English Proficiency (Written)
                    MS-Excel
                    MS-Office
                    Sales
                    Salesforce
                    Sales pitch
            ",https://internshala.com/job/detail/fresher-corporate-sales-specialist-job-in-delhi-at-ockypocky1707718488
Sales Executive,"
                        Krishna Consultant                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 2,05,000                                ",0-1 years,"
    Key responsibilities:

1. Talk to existing customers and convince them of the new plan
2. Follow the proper script of the conversation","
                    Effective Communication
            ",https://internshala.com/job/detail/fresher-sales-executive-job-in-noida-at-krishna-consultant1707718794
Tele Counseller (Domestic),"
                        Krishna Consultant                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,40,000 - 2,50,000                                ",0-5 years,"
    Key responsibilities:

1. Work on lead generation process
2. Make outgoing calls to students to brief them on courses and based on their interests, ask them to attend free career counseling sessions in institutes
3. Follow up with the students in a timely manner to know the status of their visit

Requirements:

1. Good communication in English is mandatory
2. Experience in outbound telecalling/telesales/lead generation
3. Outbound telecalling exposure is preferable","
                    Effective Communication
                    English Proficiency (Spoken)
            ",https://internshala.com/job/detail/tele-counseller-domestic-job-in-gurgaon-at-krishna-consultant1707719260
Junior Sales Executive,"
                        OckyPocky                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000 - 3,50,000                                ",0-2 years,"
    Key responsibilities:

1. Working on the outbound, inbound & online chat processes
2. Converting telephonic/web inquiries into admissions
3. Achieving business targets through effective counseling, as per timelines
4. Following up for lead generations through tele-calling, WhatsApp, email, etc.

Key requirements:

1. Good communication skills & disposition
2. Self-motivated & confident approach
3. Assertive & hardworking
4. Flexible on timings
5. Talented & willing to learn new things

Note: It is a full-time opportunity in Saket (only apply if you are willing to commute/relocate to Saket, Delhi).","
                    Effective Communication
                    English Proficiency (Spoken)
                    English Proficiency (Written)
                    Hindi Proficiency (Spoken)
                    Negotiation & Problem-solving
            ",https://internshala.com/job/detail/fresher-junior-sales-executive-job-in-multiple-locations-at-ockypocky1707719534
Business Development Associate - Fashion Industry,"
                        Growify Digital                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000 - 5,00,000                                ",1-3 years,"
    We are seeking a dynamic and innovative business development associate to join our fast-growing team in the fashion industry at Growify Digital. As a key member of our organization, you will play a crucial role in driving revenue growth and establishing strong client relationships within the fashion industry. If you have a passion for fashion and a talent for building strategic partnerships, then this is the perfect opportunity for you!

Key responsibilities:

1. Conduct market research to identify potential clients and develop a comprehensive lead generation strategy tailored to the fashion industry
2. Utilize your English proficiency to effectively communicate with clients, understanding their needs and presenting our unique value proposition
3. Build and maintain strong client relationships through regular correspondence, meetings, and networking events to gain a deep understanding of their business objectives
4. Collaborate with cross-functional teams, including marketing and operations, to develop innovative strategies that align with client objectives and drive revenue growth
5. Generate and present compelling sales proposals and negotiate contracts to ensure a win-win situation for both the client and the company
6. Regularly track and report on sales performance, keeping up-to-date records to identify trends and opportunities for improvement
7. Stay updated on industry trends, competitor analysis, and market insights to proactively identify new business opportunities and maintain a competitive edge","
                    Client Relationship
                    English Proficiency (Spoken)
                    Lead Generation
            ",https://internshala.com/job/detail/business-development-associate-fashion-industry-job-in-delhi-at-growify-digital1707731790
Graphic Designer,"
                        Aero Armour                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,16,000 - 3,00,000                                ",1-2 years,"
    Key responsibilities:

1. Collaborate with the design team to develop creative concepts and designs for t-shirts and other apparel items
2. Assist in the creation of original artwork, illustrations, and typography for print on t-shirts
3. Use design software (Adobe Photoshop, Illustrator, etc.) to bring design concepts to life and prepare them for printing
4. Research and gather inspiration from various sources, including current fashion trends, popular culture, and customer preferences
5. Participate in brainstorming sessions to generate new and innovative design ideas
6. Assist with creating mock-ups and prototypes of t-shirt designs for presentation and feedback","
                    Adobe After Effects
                    Adobe Creative Suite
                    Adobe Illustrator
                    Adobe Indesign
                    Adobe Photoshop
                    Adobe Photoshop Lightroom CC
                    Adobe Premiere Pro
                    CorelDRAW
                    UI & UX Design
                    Video Editing
            ",https://internshala.com/job/detail/graphic-designer-job-in-kolkata-at-aero-armour1707741900
Corporate Sales Specialist,"
                        Ramyoz                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000 - 3,70,000                                ",1-3 years,"
    We are seeking a dynamic and results-oriented Corporate Sales Specialist to join our expanding team. As a leading provider of innovative solutions in this industry, we are looking for someone who can drive revenue growth through effective sales strategies and exceptional customer service. This position requires a strong command of English (both written and spoken), as well as a proven track record in sales, sales pitch, effective communication, employment engagement, and negotiation & problem-solving skills. If you thrive in a fast-paced environment and have a passion for building strong client relationships, we want to hear from you!

Key responsibilities:

1. Develop and execute sales strategies to identify and target corporate clients, generating new business opportunities and fostering long-term partnerships.
2. Conduct thorough market research to identify potential clients and understand their needs, tailoring product offerings to meet their specific requirements.
3. Deliver persuasive sales pitches and presentations to key decision-makers, showcasing the unique value propositions of our products and services.
4. Build and maintain strong relationships with existing clients, ensuring high levels of customer satisfaction and repeat business.
5. Collaborate with cross-functional teams to align sales strategies with marketing initiatives, ensuring a consistent brand message and optimized sales funnel.
6. Effectively communicate with internal stakeholders to provide timely updates on sales pipeline, revenue forecasts, and market trends.
7. Utilize strong negotiation and problem-solving skills to address client concerns, overcome objections, and close deals in a timely manner.","
                    Effective Communication
                    Employment engagement
                    English Proficiency (Spoken)
                    English Proficiency (Written)
                    Negotiation & Problem-solving
                    Sales
                    Sales pitch
            ",https://internshala.com/job/detail/corporate-sales-specialist-job-in-ghaziabad-at-ramyoz1707796589
Video Editor,"
                        Saroj Education Group                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 4,00,000                                ",0-2 years,"
    Key responsibilities: 
1. Assembling raw footage and transferring or uploading to a computer
2. Following a script, screenplay or outline
3. Inputting sound to enhance footage, which may include selecting music and writing voice-overs
4. Inputting graphics to enhance footage
5. Digitally splicing film and video and synchronizing them into one rough cut file
6.  Improving and correcting lighting, coloring and faulty footage
7. Working closely with directors to present a final product that matches his or her vision
8. Edit short- and long-form videos for [Company X]'s website and social media accounts
9. Take charge of video ideation and creation
10. Ensure videos meet the marketing team's specifications and guidelines
Implement creative notes from stakeholders
11. Offer customers peerless digital experiences
12. Evaluate projects for brand authenticity","
                    Adobe Illustrator
                    Adobe Photoshop
                    Adobe Premiere Pro
                    Final Cut Pro
                    Video Editing
                    Video Making
            ",https://internshala.com/job/detail/fresher-video-editor-job-in-delhi-at-saroj-education-group1707749552
Digital Marketing - Google + Email Marketing,"
                        Growify Digital                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 4,00,000                                ",1-4 years,"
    Key responsibilities include working on digital marketing.

Skills:

1. 1.5- 4 years of relevant experience in running paid promotions on Social Media channels like Google ads, Facebook and Instagram
2. Possesses expertise in managing various social media platforms
3. Managing growth strategies for our clients who are luxury fashion brands in the industry
4. Well-versed with Facebook Business Manager, Google Ads Manager, Google Analytics, Shopify, Programmatic Ads, and Google Display Ads
5. Excellent written communication skills and storytelling to engage users","
                    Digital Marketing
                    Facebook Ads
                    Facebook Marketing
            ",https://internshala.com/job/detail/digital-marketing-google-email-marketing-job-in-delhi-at-growify-digital1707815466
Backend Executive,"
                        Uboard India Limited                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 2,20,000                                ",0-1 years,"
    Position Summary:
We are currently seeking a detail-oriented and proficient Backend Executive with a strong understanding of Excel and Google Sheets. The ideal candidate will have at least 6 months of experience in utilizing these tools efficiently. As a Backend Executive, you will play a crucial role in supporting our backend operations, data management, and analysis processes.

Key responsibilities:

Utilize Excel and Google Sheets to manage and analyze large datasets efficiently.
Perform data entry, verification, and cleansing tasks to ensure data accuracy and integrity.
Generate reports and presentations based on analyzed data to support decision-making processes.
Collaborate with cross-functional teams to streamline backend operations and improve efficiency.
Assist in maintaining and updating databases, spreadsheets, and other backend systems as needed.
Identify and troubleshoot data-related issues, providing timely solutions to ensure smooth operations.
Stay updated on industry best practices and emerging trends in Excel and Google Sheets functionality.

Qualifications:

Bachelor's degree or equivalent practical experience.
Minimum of 6 months of hands-on experience with Excel and Google Sheets.
Strong proficiency in data entry, analysis, and visualization using Excel functions and formulas.
Excellent attention to detail and accuracy in data handling.
Effective communication and collaboration skills to work with cross-functional teams.
Ability to prioritize tasks and manage time effectively in a fast-paced environment.
Familiarity with other data analysis tools or programming languages is a plus.","
                    Google Suite (G Suite)
                    Microsoft PowerApps
                    MS-Excel
            ",https://internshala.com/job/detail/fresher-backend-executive-job-in-delhi-at-uboard-india-limited1707817102
Content Writer,"
                        Super One Intelligence Vidyarthi Private Limited                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 3,00,000                                ",1-5 years,"
    Key responsibilities: 

1. Developing engaging and creative content for various platforms, including social media, websites, blogs, and other channels.
2. Conduct market analysis to identify trends and opportunities for content development.
3. Editing and proofreading content to ensure accuracy and consistency.
4. Contributing ideas for innovative content format to drive engagement and brand awareness.
5. Optimizing content for SEO to improve visibility and organic traffic.","
                    Blogging
                    Canva
                    Content Writing
                    Creative Writing
                    English Proficiency (Spoken)
                    English Proficiency (Written)
                    Search Engine Optimization (SEO)
                    Social Media Marketing
            ",https://internshala.com/job/detail/content-writer-job-in-noida-at-super-one-intelligence-vidyarthi-private-limited1707885790
